Date,Last_Price
2019-01-31,3.37700
2019-02-28,3.47300
2019-03-29,3.11000
2019-04-30,3.27000
2019-05-31,2.88300
2019-06-28,2.70400
2019-07-31,2.77900
2019-08-30,2.39300
2019-09-30,2.60600
2019-10-31,2.62100
2019-11-29,2.69600
2019-12-31,2.71100
2020-01-31,2.36900
2020-02-28,2.14200
2020-03-31,1.80700
2020-04-30,1.51800
2020-05-29,1.64500
2020-06-30,1.55800
2020-07-31,1.23400
2020-08-31,1.40400
2020-09-30,1.40400
2020-10-30,1.39700
2020-11-30,1.32900
2020-12-31,1.35000
2021-01-29,1.43169
2021-02-26,1.83976
2021-03-31,2.03831
2021-04-30,1.83754
2021-05-31,1.81917
2021-06-30,1.82918
2021-07-30,1.67591
2021-08-31,1.78947
2021-09-30,1.96531
2021-10-29,2.00368
2021-11-30,1.99466
2021-12-31,2.06000
2022-01-31,2.54649
2022-02-28,2.79908
2022-03-31,3.49124
2022-04-29,4.15374
2022-05-31,4.01380
2022-06-30,4.38367
2022-07-29,3.81651
2022-08-31,4.67473
2022-09-30,5.67522
2022-10-31,5.88294
2022-11-30,5.12350
2022-12-30,5.37100
2023-01-31,4.84071
2023-02-28,5.51502
2023-03-31,5.04655
2023-04-28,5.14466
2023-05-31,5.46880
2023-06-30,5.61790
2023-07-31,5.68370
2023-08-31,5.86838
2023-09-29,6.35968
2023-10-31,6.67416
2023-11-30,5.86283
2023-12-29,5.25203
2024-01-31,5.34775
2024-02-29,5.80623
2024-03-29,5.59606
2024-04-30,6.23132
2024-05-31,5.93221
2024-06-28,5.87371
2024-07-31,5.39321
2024-08-30,5.17647
2024-09-30,4.96424
2024-10-31,5.75698
2024-11-29,5.48705
2024-12-31,5.82837
2025-01-31,5.81407
2025-02-28,5.43030